Name,Review stars,Brand,Price,Capacity(Kg),Access Location
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (NEO DIVA SXS 6010, Silver, Active Color Protection, Hard Water Wash)",4.2,IFB,27390,6,Front Load
"IFB 7.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-REGS 7.0KG AQUA, Medium Grey, 2X Power Dual Steam, Inbuilt Heater)",3.5,IFB,21500,7,Top Load
DMR 4.6kg Portable Washing Machine - Only Washer (No Dryer) - Model DMR OW-46,3.6,DMR,5799,4,Top Load
"IFB 6.5 KG Fully-Automatic Top Load Washing Machine (TL-RPSS 6.5KG AQUA,Silver)",5.0,IFB,21499,6.5,Top Load
"Panasonic 8 Kg Wifi Built-In Heater Fully-Automatic Top Loading Smart Washing Machine (NA-F80V10LRB, Silver, Compatible with Alexa)",4.3,Panasonic,27990,8,Top Load
"Samsung 9 Kg WiFi Enabled Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA90BG4542BDTL, Bubble Storm technology, Dark Gray)",3.7,Samsung,24790,9,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine Aqua Energie (SENATOR PLUS VX, White, Active Color Protection, Hard Water Wash)",3.5,IFB,32990,8,Front Load
"Panasonic 7.5 Kg Wifi  Fully-Automatic Top Loading Smart Washing Machine (NA-F75A10MRB, Middle Free Silver, Compatible with Alexa)",4.4,Panasonic,21990,7.5,Top Load
"Samsung 8 Kg 5 Star AI Control & Wi-Fi, Fully-Automatic Front Loading Washing Machine (WW80T504DAB1TL, Black Caviar, Digital Inverter)",4.3,Samsung,36990,8,Front Load
"Whirlpool 9 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE XL 9, Graphite Grey, 3D Scrub Technology)",4.1,Whirlpool,15990,9,Top Load
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (DIVA AQUA SXS 6008, Silver, Active Color Protection, Hard Water Wash)",4.2,IFB,23790,6,Front Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENORITA SXS 6510, Silver & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,29990,6.5,Front Load
Voltas Beko 9 kg Semi Automatic Washing Machine (Burgundy) WTT90AGRT,3.1,Voltas Beko,13199,9,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR WSS 8014, Silver, Active Colour Protection, Hard Water Wash)",4.2,IFB,37000,8,Front Load
Whirlpool 7.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 7.5 TRB DRY MAX GREY DAZZELE(5YR)),4.5,Whirlpool,12740,7.5,Top Load
"IFB 7 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (NEO DIVA WSS 7010, White & Silver, Active Color Protection, Hard Water Wash)",4.1,IFB,31590,7,Front Load
"IFB 9.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-SLBS 9.0KG AQUA, Silver, Power Dual Steam, Inbuilt Heater)",3.4,IFB,30490,9,Top Load
"Bosch 6.5 kg 5 Star Inverter Fully Automatic Front Load (WLJ2026DIN, Lux Silver, Inbuilt Heater)",4.2,Bosch,29999,6.5,Front Load
"Panasonic 8 Kg Wifi  Fully-Automatic Top Loading Smart Washing Machine (NA-F80A10CRB, Charcoal Inox Grey, Compatible with Alexa)",4.3,Panasonic,23490,8,Top Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (ELENA ZSS 6510, Silver & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,31890,6.5,Front Load
"Whirlpool 7.5 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.5, Grey, Hard Water Wash)",4.2,Whirlpool,17740,7.5,Top Load
"Bosch 7.5 Kg 5 Star Fully Automatic Top Load Washing Machine WOE753M0IN (Maroon), Extra Large",3.9,Bosch,28990,7.5,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR MXS 8012, Mocha, Active Color Protection, Hard Water Wash)",4.0,IFB,36983,8,Front Load
"Amazon Basics 7 Kg Fully Automatic Front Loading Washing Machine (White, Steam Wash, Built-in Heater)",3.2,AmazonBasics,22990,7,Front Load
ZADIC Mini Foldable Washing Machine | Undergarments and use in Travel Also | Ultrasonic Cleaning Machine | Small Automatic Portable Underwear Folding 2Kg Washing Machine [Multicolor],5.0,REYANSH ENTERPRISE,4349,2,Top Load
