Name,Review stars,Brand,Price,Capacity,Access Location
"Samsung 8 Kg Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA80BG4441BGTL, Bubble Storm Technology, Light Gray)",4.0 out of 5 stars,Samsung,"20,990",Capacity 8 Kilograms,Access Location Top Load
"LG 7.5 Kg 5 Star Smart Inverter Fully-Automatic Top Load Washing Machine (T75SKSF1Z, Middle Free Silver, TurboDrum | Smart Motion)",4.2 out of 5 stars,LG,NaN,Capacity 7.5 Kilograms,NaN
"LG 8 Kg 5 Star Inverter Wi-Fi Fully-Automatic Front Loading Washing Machine with Inbuilt heater (FHP1208Z5M, Middle Black, AI DD Technology & Steam for Hygiene)",4.6 out of 5 stars,LG,NaN,Capacity 8 Kilograms,NaN
Voltas Beko 9 kg Semi Automatic Twin Tub Washing machine (WTT90UDX/BKGR4KPTD) Black - ECO Model,NaN,Voltas.Beko,"11,990",NaN,NaN
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In Built Heater (WTEON ADR 70 5.0 FDTH GPGR, Graphite Grey)",3.9 out of 5 stars,Godrej,"17,990",Capacity 7 Kilograms,NaN
"IFB 6.5 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-REWS 6.5KG AQUA, White, 2X Power Dual Steam, Inbuilt Heater)",4.3 out of 5 stars,IFB,"19,990",Capacity 6.5 Kilograms,Access Location Top Load
"Godrej 6.5 Kg Fully-Automatic Top Loading Washing Machine (WTEON 650 AP GPGR, Graphite Grey, I-Wash Technology)",4.1 out of 5 stars,Godrej,"12,990",Capacity 6.5 Kilograms,NaN
Hilton 3 kg Single-Tub Washing Machine with Spin Dryer Portable Single Tub Washer - The Laundry Alternative Portable Clothes Washer Travel Washing Machine With Spin Dryer (BLUE),3.8 out of 5 stars,Hilton,"4,989",Capacity 3 Kilograms,NaN
"Intex 6.5 KG Semi Automatic Top Loading Washing Machine with Air Dry Technology (Transparent Lid, Blue and White, SA65NBPT)",NaN,INTEX,"7,890",Capacity 6.5 Kilograms,NaN
"ONIDA 8 kg 5 Star Fully Automatic Top Load Washing Machine (T80CMB, Black, Hexa Crystal Drum)",4.2 out of 5 stars,Onida,"15,790",Capacity 8 Kilograms,Access Location Top Load
